Location,Trailer Id,Owner,Hours,Type,Status,Load,Notes
STA001,ctlz480647,UPSS,209.72379972219468,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,USAZ819254,UPSS,75.68379972219468,TRAILER,EMPTY,,100% parcel
STA001,Meqz268266,UPSS,668.9710219444169,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,560300,AACT,55.57157749997245,TRAILER,EMPTY,,
STA001,MECZ264294,UPSS,465.27074416663913,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,MEQZ268443,UPSS,915.6679663888614,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,44093,CTRQ,56.171855277750225,TRAILER_SKIRTED,EMPTY,,
STA001,l60355,RDFS,114.03657749997245,TRAILER_SKIRTED,EMPTY,,Case for removal 6480627191  
STA001,916933,RDFS,108.42213305552801,TRAILER,EMPTY,,Case for removal 6480627191  
STA001,534234,AACT,1080.8574108333057,TRAILER,EMPTY,,
STA001,9810416,IMPIC,220.15435527775023,TRAILER_INTERMODAL,EMPTY,,
STA001,511365,UPGF,45.67491083330578,TRAILER_SKIRTED,EMPTY,,
STA001,ctlz530303,UPSS,713.0943552777502,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,w32959,RBTW,476.8865774999725,TRAILER_SKIRTED,EMPTY,,
STA001,1738772plA,XPOL,293.17713305552803,TRAILER,EMPTY,,
STA001,1932566pla,DMWL,77.54991083330579,TRAILER,EMPTY,,
STA001,928175,UPGF,72.81129972219468,TRAILER,EMPTY,,
STA001,1114148,IMPIC,248.54935527775024,TRAILER_INTERMODAL,EMPTY,,
STA001,9349544,IMPIC,145.86491111112966,TRAILER_INTERMODAL,EMPTY,,
STA001,560230,AACT,23.518800000018544,TRAILER,EMPTY,,
STA001,63032,SMMT,55.032411111129655,TRAILER_SKIRTED,EMPTY,,
STA001,1956381,IMPIC,146.39546666668522,TRAILER_INTERMODAL,EMPTY,,
STA001,928084,UPGF,47.334633333351874,TRAILER,EMPTY,,
STA001,7276151,IMPIC,132.5743555555741,TRAILER_INTERMODAL,EMPTY,,
STA001,pifz538819,UPSS,578.8332444444629,TRAILER,EMPTY,,Case for Removal: 6467107531
STA001,ctlz482525,UPSS,43.65296666668521,TRAILER,EMPTY,,
STA001,130432,OTHR,64.60352222224077,TRAILER_SKIRTED,EMPTY,,
DOS001,181873,UPSS,190.93852222224078,TRAILER_SKIRTED,EMPTY,,
DOS001,1107147,IMPIC,105.97435555557409,TRAILER_INTERMODAL,EMPTY,,
DOS001,844200,UPSS,123.39491111112966,TRAILER_SKIRTED,EMPTY,,
DOS001,Amztl3710,EXLA,410.26880000001853,TRAILER,EMPTY,,Case for removal 6478475681 
DOS001,528093,EXLA,410.3129666666852,TRAILER,EMPTY,,Case for removal 6478475681
DOS001,30253t,OTHR,104.12102222224077,TRAILER,EMPTY,,
DOS001,560172,AACT,104.14602222224076,TRAILER,EMPTY,,Case for removal 6480344051  
DOS001,379056,OTHR,197.72491111112964,TRAILER,EMPTY,,100% palletized
DOS001,525642,EXLA,47.03213333335188,TRAILER,EMPTY,,
DOS001,1955,RDFS,345.63630000001854,TRAILER,EMPTY,,Case for removal 6480627191    
DOS001,181847,UPSS,137.6268555555741,TRAILER_SKIRTED,EMPTY,,
DOS001,930064,UPGF,73.43602222224077,TRAILER,EMPTY,,
DOS001,703394,UPSS,226.20518888890743,TRAILER,EMPTY,,
DOS001,560225,AACT,370.87602222224075,TRAILER,EMPTY,,Case for removal 6480344051  
DOS001,36272,FDEG,309.06907777779634,TRAILER_PUP,EMPTY,,Case for removal 6480314661 
DOS001,PIFZ580879,UPSS,244.61880000001855,TRAILER,EMPTY,,Case for Removal: 6467107531
DOS001,533883,AACT,193.61380000001856,TRAILER,EMPTY,,Case for removal 6480344051  
DOS001,955565,FDEG,240.48852222224076,TRAILER_SKIRTED,EMPTY,,Case for removal 6480314661 
DOS001,453949,FDEG,124.6443555555741,TRAILER_PUP,EMPTY,,Case for removal 6480314661 
DOS001,876052,UPSS,71.05602222224077,TRAILER,EMPTY,,95% parcel/Bolt 
DOS001,34810,FDEG,125.7043555555741,TRAILER_PUP,EMPTY,,Case for removal 6480314661 
DOS001,529085,EXLA,227.71880000001855,TRAILER,EMPTY,,Case for removal 6478475681 
